strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
Super Lemon Haze Auto,Green House Seeds,"Sativa-dominant strain with fast-hitting high. Indoor flowering 7 weeks, outdoor 7 weeks. Medium-short plant with good branching.",8.04,28.08,40.0,1 Single Feminised Auto Seed (GBP 8.04) | 3 Feminised Auto Seeds (GBP 26.80) | 5 Feminised Auto Seeds (GBP 37.60) | 10 Feminised Auto Seeds (GBP 67.00) | 50 Feminised Auto Seeds (GBP 318.25) | 100 Feminised Auto Seeds (GBP 603.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Super_Lemon_Haze_645bc71aca61f_120x140.jpg,"This is Super Lemon Haze Auto, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Sativa Dominant,30% Indica / 70% Sativa,Sativa Dominant,"Indoor, Outdoor, Greenhouse",Normal,Cerebral,"Citrus, Fruity, Lemon","Sleepy, Focused",Temperate,"Pine, Citrus",22.9%,0.9%,662.0g/m²,1039.0g/plant,83.0cm,239.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,78 days,November,Colombian x Mexican,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Royal Gorilla,Royal Queen Seeds,"Potent hybrid with THC over 25%, provides relaxation and euphoria. Good for medicinal use. Earthy, sweet taste. Multiple award winner.",24.2,28.08,40.0,3 Feminised Seeds (GBP 24.20) | 5 Feminised Seeds (GBP 35.80) | 10 Feminised Seeds (GBP 67.00) | 50 Feminised Seeds (GBP 318.25) | 100 Feminised Seeds (GBP 603.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Royal_Gorilla_6462886d650f8_120x140.jpg,"This is Royal Gorilla, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,Sativa 50% Indica 50%,Feminized,"Indoor, Outdoor",Super Strength,"Cerebral, Euphoric, General Pain, Happy, Relaxing, Stress Relief","Earthy, Lemon, Piney, Sweet","Calming, Clear",Short Summers,"Chocolate, Diesel, Fruity, Pine, Pungent",27%,Low,500 - 550 gr/m2,550 - 600 gr/plant,90 - 160 cm,130 - 170 cm,"Medium (81cm - 140cm), Tall (140cm plus)",Medium (56 to 90 days),Middle of October,8 - 10 weeks,Middle of October,Sour Dubb x Chem Sis x Chocolate Diesel,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Blue Cheese,Barneys Farm Seeds,"Iconic strain with great genetics, popular globally. Beautiful purple coloring, strong and easy to grow. Highly rated for intense flavors and relaxing effects.",27.2,28.08,40.0,3 Feminised Seeds (GBP 27.20) | 5 Feminised Seeds (GBP 38.80) | 10 Feminised Seeds (GBP 67.20) | 50 Feminised Seeds (GBP 319.20) | 100 Feminised Seeds (GBP 604.81),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Blue_Cheese_5c0f282c1cc21_120x140.jpg,"The iconic Blue Cheese strain, recognized for its award-winning genetics resulting from a cross between UK Cheese and Blueberry, is among the most sought-after marijuana strains globally. Available at Seed City, these feminized, indica-dominant seeds boast a rich color palette and a substantial fan base, especially in the UK. Acknowledged for its excellent genetics, the Blue Cheese strain is celebrated for its visual appeal and is considered one of the top indica options.
This potent strain, known as BLUE CHEESE™, promises high yields of fragrant and tasty buds characterized by an intense aged-cheese flavor with a sweet blueberry aftertaste. Ideal for Indica lovers, it produces strong, sticky colas within a short flowering period and is now available in autoflowering form.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica Dominant,Feminised,Indica Dominant,"Indoor, Outdoor, Greenhouse",Super Strength,"Appetite Stimulant, Body Stone, Creative, Relaxing","Berry, Cheese, Dairy, Earthy, Spicy, Sweet","Joy, Euphoria, Deep-body relaxation, Sleepy, Creative, Hungry",Continental,"Citrus, Spicy, Earthy",23.7%,1.7%,570.0g/m²,955.0g/plant,161.0cm,221.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of September,79 days,September,Afghani x Mexican,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
THC Bomb,Bomb Seeds,"Potent strain with high yields, short flowering time, and strong effects. Ideal for commercial growers and connoisseurs seeking high THC levels.",2.51,28.08,40.0,5 Feminised Seeds (GBP 29.80) | 10 Feminised Seeds (GBP 55.80) | 50 Feminised Seeds (GBP 265.05) | 100 Feminised Seeds (GBP 502.20) | 1 Single Regular Seed (GBP 2.51) | 10 Regular Seeds (GBP 20.90) | 50 Regular Seeds (GBP 99.28) | 100 Regular Seeds (GBP 188.10),https://www.seed-city.com/components/com_virtuemart/shop_image/product/THC_Bomb_56956ed469ae1_120x140.jpg,"THC Bomb is renowned for its massive yields and high THC levels, making it a favorite among commercial growers and enthusiasts. This strain stands out with its large, rock-hard buds and exceptional THC content of over 20% under optimal conditions. It boasts vigorous growth, yet remains relatively short, and matures quickly, offering a substantial yield. THC Bomb thrives both indoors and outdoors, with outdoor plants capable of producing over 1kg each. At harvest, plants are adorned with frosty trichromes, attesting to its potency and appeal. THC Bomb delivers superbly across yield, strength, taste, and speed.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,"Regular , Feminized",12/12 Photoperiod,50% Indica/50% Sativa,Indica/Sativa Mix,50% Indica/50% Sativa,"Indoor, Outdoor",Super Strength,Insomnia,Sweet,"Euphoric, Focused, Sleepy",Tropical,"Berry, Sweet, Pine",Very High (20-25%),0.7%,659.0g/m²,565.0g/plant,139.0cm,187.0cm,Short (up to 80cm),Medium (56 to 90 days),"The End of September, Beginning of October, Middle of October",62 days,Early October,Northern Lights x Haze,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Girl Scout Cookies,Blackskull Seeds,"Potent strain with THC up to 28%. Indica dominant hybrid for euphoric high, body effects, anxiety, depression, and appetite. Easy to grow with dense buds.",14.2,28.08,40.0,3 Feminised Seeds (GBP 14.20) | 5 Feminised Seeds (GBP 20.80) | 10 Feminised Seeds (GBP 33.40) | 50 Feminised Seeds (GBP 158.65) | 100 Feminised Seeds (GBP 300.60),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Girl_Scout_Cooki_5bf6fa26ac989_120x140.jpg,"Girl Scout Cookies is a highly sought-after strain recognized for its potency, with THC levels reaching up to 28%. It's an Indica dominant hybrid with a 40:60 sativa/indica ratio that delivers both a euphoric mental high and a strong physical effect. This strain stands out for its sweet and earthy flavors and is particularly effective in treating anxiety, depression, and promoting appetite. Additionally, Girl Scout Cookies is straightforward to cultivate, offering dense buds that are simple to trim, making it an ideal choice for growers.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,50% Indica / 50% Sativa,50% Indica/50% Sativa,"Indoor, Outdoor",Super Strength,"Anxiety, Appetite Stimulant, Depression, Happy","Herbal, Musky, Spicy, Sweet","Body, Cerebral, Powerful, Relaxing",Temperate,Berry,19.8%,1.9%,686.0g/m²,641.0g/plant,120.0cm,259.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,55 – 60 days,October,Haze x Skunk,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
SALE - Platinum Mimosa Cookies Double XL Auto - Growers Choice,Cannabis Seed Sale Items,"Limited release of high-yielding strain with sweet, fruity, creamy flavors. High THC levels, mold resistant, thrives in various climates.",15.44,25.74,40.0,6 X 1 Single Feminised Seed (GBP 15.44),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Platinum_Mimosa__65b948cf8ec3b_120x140.jpg,"Introducing the rare Platinum Mimosa Cookies, a hybrid from Platinum Cookies and Mimosa, belonging to the double XL autoflowerings due to their significant height of 100 to 130 cm, making them ideal for high yields. Average yields range from 80 to 150 grams per plant. The strain boasts sweet, fruity, and creamy flavors with a citrus and lemon undertone, and notably high THC levels, averaging above 25%. It features three phenotypes with variations in bud color but doesn't produce distinctly pink or purple weed.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,Autoflowering,Indica Dominant,70% Indica / 30% Sativa,Hybrid,"Indoor, Outdoor",Super Strength,Appetite Stimulation,"Citrus, Dairy, Fruity, Lemon, Sweet",Relaxed,Can take warm and cold climates,"Pine, Citrus, Sweet",27-30%,Medium,750+ grams/ m2,916.0g/plant,97.0cm,between 100 and 130 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,87 days,Late October,Afghani x Mexican,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Critical Kush,Barneys Farm Seeds,"Potent Indica with high yields, sticky buds, powerful stone. Ideal for relaxation, pain relief, late night smoking. Flowers in 8 weeks.",27.2,28.08,40.0,3 Feminised Seeds (GBP 27.20) | 5 Feminised Seeds (GBP 38.80) | 10 Feminised Seeds (GBP 67.20) | 50 Feminised Seeds (GBP 319.20) | 100 Feminised Seeds (GBP 604.81),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Critical_Kush_5c0f2866ea6c2_120x140.jpg,"Critical Kush, a strength-packed Indica strain from the cross of Critical Mass and OG Kush by Barneys Farm, flourishes quickly, yielding vast amounts of potent Kush featuring sticky, crystal-laden buds, a deeply aromatic scent, and a powerful, relaxing effect. This 100% Indica strain is celebrated for its relaxing, pain-relieving qualities and is perfect for evening use. Expect harvestable flowers within 8 weeks from this medium-sized plant.
To maximize seed longevity, store Critical Kush seeds in a cool, dark, airtight container in the fridge, labeled and dated, steering clear of freezing.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Indica,Feminised,Indica,"Indoor, Outdoor, Greenhouse",Super Strength,"General Pain, Insomnia, Relaxing","Citrus, Earthy, Fuel, Herbal, Lemon, Sweet, Tangy","Stimulating, Calming, Relaxing",Mediterranean,"Earthy, Berry",21.5%,1.8%,454.0g/m²,948.0g/plant,179.0cm,165.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,77 days,November,Haze x Skunk,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Blue Dream,Garden of Green,"Popular strain with 18% THC, low CBD, and berry aroma. Garden of Green emphasizes therapeutic qualities.",71.4,28.08,40.0,10 Feminised Seeds (GBP 71.40),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Blue_Dream_5b05beac11205_120x140.jpg,"Blue Dream, a sativa-dominant hybrid crossing Blueberry with Haze, is high in demand among cannabis seed collectors for its exceptional genetics. It features 18% THC content, low CBD, and emits a tempting berry scent. Not only is Blue Dream sought after for its pleasurable aroma and flavor, but it's also valued for its therapeutic benefits, offering relief from conditions like nausea, anxiety, depression, and pain disorders. Seed City is a prime source for these seeds, showcasing Garden of Green's collection, a brand known for optimizing THC and CBD levels for maximum therapeutic effect.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,30% Indica / 70% Sativa,Sativa Dominant,"Indoor, Outdoor",Super Strength,"Cerebral, Menstrual Pain","Fruity, Lemon, Piney, Vanilla","Cerebral, Energetic, Long-lasting",Tropical,"Sweet, Berry, Earthy",21.0%,0.8%,792.0g/m²,563.0g/plant,152.0cm,276.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,65 - 70 days,Mid October,Haze x Skunk,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
HulkBerry,Royal Queen Seeds,"Potent strain created from OG Kush and Strawberry Diesel. Clear, uplifting high with fruity and fuel flavors.",25.8,28.08,40.0,3 Feminised Seeds (GBP 25.80) | 5 Feminised Seeds (GBP 39.20) | 10 Feminised Seeds (GBP 71.40) | 50 Feminised Seeds (GBP 339.15) | 100 Feminised Seeds (GBP 642.60),https://www.seed-city.com/components/com_virtuemart/shop_image/product/HulkBerry_646272964139a_120x140.jpg,"HulkBerry, resulting from a fusion between OG Kush and Strawberry Diesel, has emerged as a formidable player in the cannabis world, rebelling against the couchlocking dominance of Kush varieties. It boasts a robust THC content that has reached up to 28%, previously an exclusive offering in Colorado dispensaries but now available as feminized seeds worldwide. Renowned for its sativa-dominance, particularly the Bruce Banner #3 phenotype, HulkBerry combines chunky, resinous Kush nugs with sweet, fruity flavors. This strain also presents growers with potential phenotypic variations, urging consideration for multiple mother plants due to their desirable traits.","The strain flourishes under a standard 12-12 light regime, maturing in 9–10 weeks with significant colas expansion reminiscent of OG Kush but surprises with fruity aromas. HulkBerry excels in both SOG and ScrOG setups, promising bountiful yields that can impress even seasoned Kush cultivators.","Upon combustion, HulkBerry delivers a profound effect; a rapid ascent initiated by its earthy-fuel flavor profile shifts to a sustained cerebral journey. Veterans may channel this potent high into creative pursuits, whereas others relish in its prolonged, blissful euphoria.",Feminized,12/12 Photoperiod,"Sativa Dominant , 50% Indica/50% Sativa",Sativa 65% Indica 35%,Feminized,"Indoor, Outdoor",Super Strength,"Cerebral, Happy","Citrus, Fuel, Lemon, Lime, Sweet","Clear, Uplifting",Short Summers,"Citrus, Diesel, Herbal, Pepper",27%,Low,400 - 450 gr/m2,650 - 700 gr/plant,80 - 140 cm,160 - 200 cm,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,9 - 11 weeks,Late September,OG Kush x Strawberry Diesel,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Mimosa EVO,Barneys Farm Seeds,Sativa dominant strain with tropical lemon and citrus flavors. High-quality seeds with discreet shipping and educational resources.,27.2,28.08,40.0,3 Feminised Seeds (GBP 27.20) | 5 Feminised Seeds (GBP 38.80) | 10 Feminised Seeds (GBP 67.20) | 50 Feminised Seeds (GBP 319.20) | 100 Feminised Seeds (GBP 604.81),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Mimosa_5e725356b2987_120x140.jpg,"This is Mimosa EVO, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,30% Indica / 70% Sativa,Sativa Dominant,"Indoor, Outdoor",Super Strength,"Focused, Happy, Motivational, Uplifting","Berry, Citrus, Fruity, Lemon, Orange","Sleepy, Creative",Mediterranean,"Pine, Citrus",20.6%,0.4%,734.0g/m²,563.0g/plant,142.0cm,236.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,82 days,October,Afghani x Thai,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
Blue Dream Auto,Cali Weed Seeds,"High THC, medium CBD. Short plant, dense nugs. Fast rooting, reliable for cloning. Purple potential with temp difference.",50.0,28.08,40.0,5 Feminised Seeds (GBP 50.00) | 25 Feminised Seeds (GBP 237.50) | 50 Feminised Seeds (GBP 450.00),https://www.seed-city.com/components/com_virtuemart/shop_image/product/Blue_Dream_Auto_607dc4b8ccfe6_120x140.jpg,"This is Blue Dream Auto, a high-quality cannabis strain known for its unique characteristics and effects.",This strain grows well in both indoor and outdoor environments with proper care and nutrients.,Users report a balanced and enjoyable experience with this strain.,Feminized,12/12 Photoperiod,Sativa Dominant,30% Indica / 70% Sativa,Sativa Dominant,"Indoor, Outdoor, Greenhouse",Normal,"Insomnia, Nausea, Appetite Stimulation",Sweet,"Energetic, Euphoric",Tropical,Spicy,19.1%,0.4%,518.0g/m²,1179.0g/plant,123.0cm,282.0cm,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,7-8 WEEKS,October,Haze x Skunk,In Stock,Cannabis Seeds Currently on Sale,Most Popular Cannabis Seeds
